Article,Article Name,Description
1,General Provisions,Establishes New York's commitment to conserving and enhancing the environment for the well-being of its residents. Also defines key terms used in New York's environmental laws.
3,"Department of Environmental Conservation; General Functions, Powers, Duties and Jurisdiction","Keeps the Department of Environmental Conservation active and describes its leadership and organization. It explains how the department can work with local governments on conservation projects, manage lab testing for environmental issues, and partner with the federal government to acquire land for wildlife management. Outlines the department's key responsibilities, including reviewing state lands, creating a statewide environmental plan, and managing educational resources."
6,State Smart Growth Public Infrastructure Policy Act,"Promotes sustainable development by ensuring public infrastructure projects consider environmental, economic, and community impacts."
7,Council of Environmental Advisers,Establishes a council to advise on state environmental policies and initiatives.
8,Environmental Quality Review,"This act establishes a state policy to foster a positive relationship between people and the environment by preventing damage, improving community resources, and raising awareness of ecological systems."
9,Lands and Forests,"Outlines the management of New York's lands and forests, detailing the Department of Environmental Conservation's responsibilities, land acquisition for parks, and stewardship programs"
11,Fish and Wildlife,Regulates the conservation and management of fish and wildlife resources.
13,Marine and Coastal Resources,Protects and manages New York’s marine and coastal ecosystems.
14,New York Ocean and Great Lakes Ecosystem Conservation Act,Provides for the conservation and sustainable use of New York’s ocean and Great Lakes resources.
15,Water Resources,Governs the use and protection of New York's water resources.
16,Flood Control,Establishes measures for flood prevention and control.
17,Water Pollution Control,Sets standards and regulations to prevent water pollution.
19,Air Pollution Control,Establishes measures to control and prevent air pollution.
21,Pollution Control Compacts,Facilitates interstate compacts for pollution control.
22,Mining of Uranium,Regulates uranium mining to ensure safety and environmental protection.
23,Mineral Resources,Governs the extraction and management of mineral resources.
24,Freshwater Wetlands,Protects freshwater wetlands to preserve their ecological functions.
25,Tidal Wetlands,Protects tidal wetlands to preserve their ecological functions.
27,"Collection, Treatment and Disposal of Refuse and Other Solid Waste",Regulates the management of solid waste to prevent environmental contamination.
28,Pollution Prevention,Promotes practices to reduce pollution at the source.
29,Low-level Radioactive Waste Facilities,Governs the management of facilities handling low-level radioactive waste.
30,Decommissioning Nuclear Power Plant Discharges Into the Hudson River,Regulates the process of decommissioning nuclear power plants and managing discharges into the Hudson River.
33,Pesticides,Regulates the use and management of pesticides to ensure environmental and public safety.
34,Coastal Erosion Hazard Areas,Manages coastal areas vulnerable to erosion to protect natural and human-made structures.
35,Detergents and Other Household Cleansing Products,Sets standards for detergents and household cleaners to minimize environmental impact.
36,Participation In Flood Insurance Programs,Facilitates participation in national flood insurance programs to mitigate flood damage.
37,"Substances Hazardous or Acutely Hazardous to Public Health, Safety or the Environment",Regulates the use and management of hazardous substances to protect public health and the environment.
38,Chlorofluorocarbon Compounds,Controls the use of substances that deplete the ozone layer.
39,Sewage System Cleaners and Additives Used In Restricted Geographical Areas,Regulates the use of sewage system additives to prevent environmental harm.
40,Hazardous Substances Bulk Storage Act,Governs the storage of hazardous substances to prevent leaks and spills.
41,Powers and Duties of the Department Applicable Only to the Sixth Park Region,Specifies unique powers and responsibilities of the Department of Environmental Conservation in the Sixth Park Region.
42,Historic Hudson-Hoosic Rivers Partnership,Promotes the preservation and sustainable use of the Hudson-Hoosic River region.
43,Lake George Park Commission,Manages the Lake George Park for conservation and public enjoyment.
44,Hudson River Valley Greenway,"Establishes a framework for the preservation, enhancement, and development of the Hudson River Valley."
45,State Nature and Historical Preserve Trust,Protects and manages areas of natural and historical significance.
46,Albany Pine Bush Preserve Commission,Manages the Albany Pine Bush Preserve for conservation and public education.
47,County and Regional Environmental Management Councils,Encourages the creation of local councils to address environmental issues.
48,Environmental Justice,Addresses the disproportionate environmental impact on disadvantaged communities.
49,Protection of Natural and Man-made Beauty,Aims to preserve and enhance the visual quality of the environment.
51,Implementation of Environmental Quality Bond Act of 1972,Details the execution of projects funded by the 1972 Bond Act.
52,Implementation of Environmental Quality Bond Act of 1986,Details the execution of projects funded by the 1986 Bond Act.
53,Tree Conservation and Urban Forestry,Promotes the planting and maintenance of urban forests and street trees.
54,Environmental Protection Act,Provides funding and guidelines for various environmental protection projects.
55,Sole Source Aquifer Protection,Protects aquifers that are the sole source of drinking water in certain areas.
56,Implementation of the Clean Water/Clean Air Bond Act of 1996,Details the execution of projects funded by the 1996 Bond Act.
57,Long Island Pine Barrens Maritime Reserve Act,Preserves the Long Island Pine Barrens and its maritime resources.
58,"Implementation of the ""Clean Water, Clean Air, and Green Jobs Environmental Bond Act of 2022""",Details the execution of projects funded by the 2022 Bond Act.
70,Uniform Procedures,Establishes consistent procedures for environmental permitting and approvals.
71,Enforcement,Outlines the enforcement mechanisms for environmental laws and regulations.
72,Environmental Regulatory Program Fees,Specifies the fees associated with environmental regulatory programs.
73,New York State Canal Flood Mitigation Task Force,Creates a task force to address flood risks in the state's canal system.
75,Climate Change,Addresses measures to mitigate and adapt to climate change impacts.
