NAME311,LOCATION,BOROUGH,TYPECATEGORY,ACRES,URL
Abraham Lincoln Playground,5 Ave. and E. 135 St.,M,Community Park,0.991,http://www.nycgovparks.org/parks/M193/
Alfred E. Smith Playground,"Catherine Slip, Madison St. and South St.",M,Community Park,1.75,http://www.nycgovparks.org/parks/M194/
Alice Austen Park,"Edgewater St., Hylan Blvd., Abbott St.",R,Historic House Park,15.524,http://www.nycgovparks.org/parks/R117/
Alley Pond Park,"Little Neck Bay to Springfield Blvd, Union Tpke",Q,Flagship Park,635.514,http://www.nycgovparks.org/parks/Q001/
Aqueduct Walk,Dr. MLK Jr. Blvd. bet. W. Tremont Ave. and E. Fordham Rd.,X,Community Park,8.607,http://www.nycgovparks.org/parks/X001A/
Aqueduct Walk,Aqueduct Ave. W. bet. W. Fordham Rd. and W. Kingsbridge Rd.,X,Community Park,4.926,http://www.nycgovparks.org/parks/X001/
Archie Spigner Park,"169 St., Merrick Blvd., Marne Pl. bet. Linden Blvd., Sayres Ave., and 111 Rd.",Q,Community Park,10.79,http://www.nycgovparks.org/parks/Q051/
Asphalt Green,"E. 90 St., York Ave., FDR Dr.",M,Community Park,4.35,http://www.nycgovparks.org/parks/M286/
Asser Levy Park,"Boardwalk, Surf Ave., Sea Breeze Ave., Ocean Parkway",B,Community Park,21.039,http://www.nycgovparks.org/parks/B080/
Asser Levy Playground,"E. 23 St. To E. 25 St., FDR Drive",M,Community Park,2.436,http://www.nycgovparks.org/parks/M164/
Astoria Park,19 St. bet. Astoria Park S. and Ditmars Blvd.,Q,Community Park,59.956,http://www.nycgovparks.org/parks/Q004/
Baisley Pond Park,"N. Conduit Ave., 116 Ave. bet. 150 St., Suptin Blvd., and Baisley Blvd. S.",Q,Community Park,109.609,http://www.nycgovparks.org/parks/Q005/
Battery Park City,"Hudson River, Liberty St. West St, and Pier A",M,Community Park,26.042,http://www.nycgovparks.org/parks/M283/
Bayswater Park,"Dwight Ave., Seagirt Blvd. bet. Beach 38 St. and Bay 32 St.",Q,Community Park,40.16,http://www.nycgovparks.org/parks/Q007/
Betsy Head Park,"Blake Ave., Dumont Ave. bet. Thomas Boyland St. and Bristol St.",B,Community Park,10.555,http://www.nycgovparks.org/parks/B008/
Big Bush Playground,Laurel Hill Blvd. bet. 61 St. and 64 St.,Q,Community Park,2.5,http://www.nycgovparks.org/parks/Q205A/
Bloomingdale Park,"Richmond Pkwy., West Shore Expw., Lenevar Ave., Ramona Ave.",R,Community Park,138.1,http://www.nycgovparks.org/parks/R106/
Breukelen Ballfields,"Louisiana Ave., Stanley Ave., Flatlands Ave., Williams Ave.",B,Community Park,16.16,http://www.nycgovparks.org/parks/B247/
Bronx Park,"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",X,Flagship Park,718.373,http://www.nycgovparks.org/parks/X002/
Brooklyn Bridge Park,Brooklyn Waterfront From Washington St To Atlantic Ave,B,Community Park,21.377,http://www.nycgovparks.org/parks/B431/
Brookville Park,"S. Conduit Ave., 149 Ave. bet. 232 St. and 235 St.",Q,Community Park,89.946,http://www.nycgovparks.org/parks/Q008/
Brownsville Playground,"Hegeman Ave., Linden Blvd. bet. Powell St. and Mother Gaston Blvd.",B,Community Park,3.017,http://www.nycgovparks.org/parks/B270/
Bushwick Playground,Flushing Ave. bet.. Beaver St. and Garden St.,B,Community Park,1.29,http://www.nycgovparks.org/parks/B310/
Callahan-Kelly Playground,"Fulton St., Truxton St., bet. Eastern Pkwy. and Van Sinderen Ave.",B,Community Park,3.253,http://www.nycgovparks.org/parks/B219/
Cambria Playground,"Francis Lewis Blvd., 121 Ave. bet. 219 St. and 222 St.",Q,Community Park,4.635,http://www.nycgovparks.org/parks/Q339/
Canarsie Park,"Belt Pkwy, Seaview Ave Btw: Paerdegat Basin, E 93 S, E 102 St, Fresh Creek Basin",B,Community Park,132.2,http://www.nycgovparks.org/parks/B018/
Carter G. Woodson Children's Park,Christopher Ave. between Sutter Ave. and Belmont Ave.,B,Community Park,0.918,http://www.nycgovparks.org/parks/B397/
Central Park,"5 Av To Central Park W, 59 St To 110 St",M,Flagship Park,840.01,http://www.nycgovparks.org/parks/M010/
Claremont Park,"Clay Ave., Anthony Ave. bet. Mount Eden Pkwy. and E. 170 St",X,Community Park,38.536,http://www.nycgovparks.org/parks/X008/
